# 
# runname = 'GJ1214'; g = 1.0650e+03; mgas = 8.3027e-24; rho_int = 2.8000e+00; an = 1.0000e-07; mn0 = 1.1729e-20; f_stick = 1.0000e+00; T_star = 3.1100e+03; cs_com = 8.0000e-15; cs_mol = 2.0000e-15; Pref = 1.0000e+06; R_star = 1.5040e+10; Rp = 1.7516e+09; rp = 2.2290e+11; gibbsfile = '/home/helong/ARCiS/code/tables/gibbs_test.txt'; rootdir = '/home/helong/ARCiS/code'; 
# 2Na + 2HCl -> 2NaCl(s) + H2; 2K + 2HCl -> 2KCl(s) + H2; Zn + H2S -> ZnS(s) + H2; 2Na + H2S -> Na2S(s) + H2; 
#cols::logP T(K) rhop(gcm-3) ap(cm) Sn NaCl(s) KCl(s) ZnS(s) Na2S(s) Na HCl K Zn H2S nuclei
  1.1819e+00  5.0425e+02  2.0234e+00  3.0829e-06  2.2682e-68  9.2011e-15  1.5215e-09  3.9114e-09  2.2212e-08  7.3825e-15  1.8938e-17  2.7955e-05  3.3670e-18  7.6148e-03  1.3057e-12
  1.2026e+00  5.0425e+02  2.0234e+00  3.0829e-06  1.0171e-67  1.0935e-14  1.8082e-09  4.6485e-09  2.6397e-08  7.3799e-15  1.8932e-17  2.7955e-05  3.3667e-18  7.6148e-03  1.5518e-12
  1.2233e+00  5.0425e+02  2.0234e+00  3.0829e-06  4.5122e-67  1.2953e-14  2.1420e-09  5.5064e-09  3.1270e-08  7.3768e-15  1.8926e-17  2.7955e-05  3.3663e-18  7.6148e-03  1.8382e-12
  1.2439e+00  5.0426e+02  2.0234e+00  3.0829e-06  1.9805e-66  1.5295e-14  2.5292e-09  6.5020e-09  3.6923e-08  7.3732e-15  1.8918e-17  2.7955e-05  3.3659e-18  7.6148e-03  2.1705e-12
  1.2646e+00  5.0426e+02  2.0234e+00  3.0829e-06  8.6007e-66  1.8004e-14  2.9772e-09  7.6535e-09  4.3462e-08  7.3691e-15  1.8909e-17  2.7955e-05  3.3653e-18  7.6148e-03  2.5549e-12
  1.2853e+00  5.0426e+02  2.0234e+00  3.0829e-06  3.6952e-65  2.1127e-14  3.4936e-09  8.9811e-09  5.1001e-08  7.3643e-15  1.8899e-17  2.7955e-05  3.3647e-18  7.6148e-03  2.9981e-12
  1.3060e+00  5.0427e+02  2.0234e+00  3.0829e-06  1.5707e-64  2.4717e-14  4.0873e-09  1.0507e-08  5.9668e-08  7.3588e-15  1.8887e-17  2.7955e-05  3.3639e-18  7.6148e-03  3.5076e-12
  1.3267e+00  5.0427e+02  2.0234e+00  3.0829e-06  6.6056e-64  2.8831e-14  4.7676e-09  1.2256e-08  6.9599e-08  7.3524e-15  1.8874e-17  2.7955e-05  3.3630e-18  7.6148e-03  4.0914e-12
  1.3474e+00  5.0427e+02  2.0234e+00  3.0829e-06  2.7484e-63  3.3532e-14  5.5449e-09  1.4254e-08  8.0947e-08  7.3451e-15  1.8858e-17  2.7955e-05  3.3620e-18  7.6148e-03  4.7585e-12
  1.3680e+00  5.0428e+02  2.0234e+00  3.0829e-06  1.1314e-62  3.8887e-14  6.4305e-09  1.6531e-08  9.3875e-08  7.3369e-15  1.8840e-17  2.7955e-05  3.3608e-18  7.6148e-03  5.5184e-12
  1.3887e+00  5.0428e+02  2.0234e+00  3.0829e-06  4.6078e-62  4.4970e-14  7.4365e-09  1.9117e-08  1.0856e-07  7.3275e-15  1.8820e-17  2.7955e-05  3.3594e-18  7.6148e-03  6.3818e-12
  1.4094e+00  5.0429e+02  2.0234e+00  3.0829e-06  1.8567e-61  5.1862e-14  8.5760e-09  2.2047e-08  1.2520e-07  7.3169e-15  1.8797e-17  2.7955e-05  3.3578e-18  7.6148e-03  7.3597e-12
  1.4301e+00  5.0429e+02  2.0234e+00  3.0829e-06  7.4016e-61  5.9646e-14  9.8633e-09  2.5356e-08  1.4399e-07  7.3049e-15  1.8771e-17  2.7955e-05  3.3559e-18  7.6148e-03  8.4644e-12
  1.4508e+00  5.0429e+02  2.0234e+00  3.0828e-06  2.9193e-60  6.8416e-14  1.1314e-08  2.9084e-08  1.6516e-07  7.2914e-15  1.8741e-17  2.7955e-05  3.3538e-18  7.6148e-03  9.7090e-12
  1.4714e+00  5.0430e+02  2.0234e+00  3.0828e-06  1.1391e-59  7.8270e-14  1.2943e-08  3.3273e-08  1.8895e-07  7.2764e-15  1.8708e-17  2.7955e-05  3.3514e-18  7.6148e-03  1.1107e-11
